model,qformat,tp,mps_percentage,batch_size,input_len,output_len,seq_len,prefill_time,decode_time,ttft,tpot,e2e
llama-3-8b,qoq,1,100,1,256,256,512,0.0340895897883455,2.9791966670018155,0.0340931892395019,0.0116831241843208,3.013286256790161
llama-3-8b,qoq,1,100,2,256,256,512,0.0425412906275597,3.1320221411122477,0.0425441980361938,0.0122824397690676,3.174563431739807
llama-3-8b,qoq,1,100,4,256,256,512,0.0620363853988235,2.999539021390956,0.0620378911495208,0.0117628981231017,3.06157540678978
llama-3-8b,qoq,1,100,8,256,256,512,0.1025657511374449,3.065988492307952,0.1025695413351059,0.0120234842835605,3.1685542434453966
llama-3-8b,qoq,1,100,16,256,256,512,0.1848153965722305,3.376003624295117,0.1848226934671402,0.0132392298991965,3.560819020867348
llama-3-8b,qoq,1,100,32,256,256,512,0.3425462773186156,3.368044044997077,0.3425650432705879,0.0132080158627336,3.710590322315693
llama-3.1-70b,awq,1,100,1,256,256,512,0.1084715450022486,9.268917651899391,0.1105120658874511,0.0363486966741152,9.379429697990416
llama-3.1-70b,awq,1,100,2,256,256,512,0.1384231969517713,8.911888123697281,0.1838208198547363,0.0349485808772442,9.095673179626464
llama-3.1-70b,awq,1,100,4,256,256,512,0.3166502580264932,8.972352270723059,0.378041934967041,0.0351856951793061,9.350229662656783
llama-3.1-70b,awq,1,100,8,256,256,512,0.6880846072759595,9.15038019142521,0.785198551416397,0.035883843887942,9.93525407910347
llama-3.1-70b,awq,1,100,16,256,256,512,1.503832995720859,9.327105815487084,1.6386396795511249,0.0365768855509297,10.96510353386402
llama-3.1-70b,awq,1,100,32,256,256,512,3.09884622890022,9.45129586094954,3.3424423322081567,0.037063905337057,12.792375898361206
llama-3.1-70b,awq,2,100,1,256,256,512,0.0687897018011426,11.007533546999912,0.0707741498947143,0.043166798223529,11.078203654289243
llama-3.1-70b,awq,2,100,2,256,256,512,0.0891287420490698,11.180720002552698,0.1095942974090576,0.0438459607943243,11.290145123004914
llama-3.1-70b,awq,2,100,4,256,256,512,0.155055707176507,11.127871089000474,0.1999612629413604,0.043638710152943,11.327598267793656
llama-3.1-70b,awq,2,100,8,256,256,512,0.3169484875244961,11.13189706952544,0.3944074809551239,0.0436544983118644,11.525888720154764
llama-3.1-70b,awq,2,100,16,256,256,512,0.7143227826563816,11.360328891736298,0.8323511362075806,0.044550309379358,12.191960467398166
llama-3.1-70b,awq,2,100,32,256,256,512,1.6540732225480952,11.666314553158829,1.7704696767032146,0.0457502531496424,13.435496840626
llama-3.1-70b,awq,4,100,1,256,256,512,0.0539030926011037,11.119073411999851,0.0557467699050903,0.0436042094588229,11.17473042011261
llama-3.1-70b,awq,4,100,2,256,256,512,0.055926249451295,11.008485368848778,0.0713531613349914,0.0431705308582305,11.079688632488253
llama-3.1-70b,awq,4,100,4,256,256,512,0.0938564803494955,11.07943687887546,0.1245605528354644,0.0434487720740214,11.203814917802813
llama-3.1-70b,awq,4,100,8,256,256,512,0.1819057849629644,11.150149287712155,0.2308818072080612,0.0437260756380868,11.380620843172071
llama-3.1-70b,awq,4,100,16,256,256,512,0.3811521799431375,11.396551373807142,0.4568336218595504,0.0446923583286554,11.852469187974927
llama-3.1-70b,awq,4,100,32,256,256,512,0.9420534165467644,11.541812050665431,1.0051789373159408,0.0452620080418252,12.545911487191916
llama-3.1-70b,fp8_kv8,4,100,1,256,256,512,0.062472923999303,13.251088186501876,0.0640881538391113,0.051965051711772,13.315079522132873
llama-3.1-70b,fp8_kv8,4,100,2,256,256,512,0.0574403379501745,13.97872313765074,0.0821473240852355,0.0548185221084342,14.060716855525971
llama-3.1-70b,fp8_kv8,4,100,4,256,256,512,0.0635904220005613,13.965743978849789,0.0951728582382202,0.0547676234464697,14.060744160413742
llama-3.1-70b,fp8_kv8,4,100,8,256,256,512,0.1008837977631628,13.86032825475122,0.1473210960626602,0.0543542284500047,14.007199677824977
llama-3.1-70b,fp8_kv8,4,100,16,256,256,512,0.191364207189099,13.948348299830377,0.2706852063536644,0.054699405097374,14.192018719017506
llama-3.1-70b,fp8_kv8,4,100,32,256,256,512,0.4048501759278451,14.064621429268756,0.4673831656575203,0.0551553781539951,14.528761871904134
llama-3.1-70b,org,4,100,1,256,256,512,0.0538963517996307,11.382995808299166,0.0560491323471069,0.044639199248232,11.438913369178772
llama-3.1-70b,org,4,100,2,256,256,512,0.0492851851497107,11.31247816019968,0.0630097985267639,0.0443626594517634,11.37533106803894
